,Unnamed: 0,Product name,rating
0,0,Chocolate Sandwich Cookies,Nutri-Score E - Bad nutritional quality
1,1,All-Seasons Salt,Nutri-Score not computed - Unknown nutritional quality
2,2,Robust Golden Unsweetened Oolong Tea,Nutri-Score not computed - Unknown nutritional quality
3,3,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,
4,4,Green Chile Anytime Sauce,
5,5,Dry Nose Oil,
6,6,Pure Coconut Water With Orange,
7,7,Cut Russet Potatoes Steam N' Mash,
8,8,Light Strawberry Blueberry Yogurt,Nutri-Score not computed - Unknown nutritional quality
9,9,Sparkling Orange Juice & Prickly Pear Beverage,Nutri-Score not computed - Unknown nutritional quality
10,10,Peach Mango Juice,Nutri-Score not computed - Unknown nutritional quality
11,11,Chocolate Fudge Layer Cake,Nutri-Score E - Bad nutritional quality
12,12,Saline Nasal Mist,Nutri-Score not computed - Unknown nutritional quality
13,13,Fresh Scent Dishwasher Cleaner,
14,14,Overnight Diapers Size 6,
15,15,Mint Chocolate Flavored Syrup,Nutri-Score not computed - Unknown nutritional quality
16,16,Rendered Duck Fat,Nutri-Score not computed - Unknown nutritional quality
17,17,Pizza for One Suprema  Frozen Pizza,
18,18,Gluten Free Quinoa Three Cheese & Mushroom Blend,
19,19,Pomegranate Cranberry & Aloe Vera Enrich Drink,Nutri-Score C - Average nutritional quality
20,20,Small & Medium Dental Dog Treats,Nutri-Score D - Poor nutritional quality
21,21,Fresh Breath Oral Rinse Mild Mint,
22,22,Organic Turkey Burgers,Nutri-Score A - Very good nutritional quality
23,23,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,
24,24,Salted Caramel Lean Protein & Fiber Bar,
25,25,Fancy Feast Trout Feast Flaked Wet Cat Food,
26,26,Complete Spring Water Foaming Antibacterial Hand Wash,
27,27,Wheat Chex Cereal,Nutri-Score C - Average nutritional quality
28,28,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,
29,29,"Three Cheese Ziti, Marinara with Meatballs",
30,30,White Pearl Onions,Nutri-Score A - Very good nutritional quality
31,31,Nacho Cheese White Bean Chips,
32,32,Organic Spaghetti Style Pasta,Nutri-Score A - Very good nutritional quality
33,33,Peanut Butter Cereal,Nutri-Score D - Poor nutritional quality
34,34,Italian Herb Porcini Mushrooms Chicken Sausage,
35,35,Traditional Lasagna with Meat Sauce Savory Italian Recipes,
36,36,Noodle Soup Mix With Chicken Broth,Nutri-Score D - Poor nutritional quality
37,37,Ultra Antibacterial Dish Liquid,
38,38,Daily Tangerine Citrus Flavored Beverage,
39,39,Beef Hot Links Beef Smoked Sausage With Chile Peppers,
40,40,Organic Sourdough Einkorn Crackers Rosemary,Nutri-Score not computed - Unknown nutritional quality
41,41,Biotin 1000 mcg,
42,42,Organic Clementines,Nutri-Score C - Average nutritional quality
43,43,Sparkling Raspberry Seltzer,Nutri-Score not computed - Unknown nutritional quality
44,44,European Cucumber,Nutri-Score C - Average nutritional quality
45,45,Raisin Cinnamon Bagels 5 count,
46,46,Onion Flavor Organic Roasted Seaweed Snack,
47,47,"School Glue, Washable, No Run",
48,48,Vegetarian Grain Meat Sausages Italian - 4 CT,
49,49,Pumpkin Muffin Mix,Nutri-Score not computed - Unknown nutritional quality
50,50,Sa Extra Hold Mousse Hair Styling,
51,51,Mirabelle Brut Rose,
52,52,Whole Leaf Pure Aloe With Lemon Juice,
53,53,24/7 Performance Cat Litter,
54,54,Lasting Color Shampoo,
55,55,Healthy Pop Butter Popcorn,Nutri-Score not computed - Unknown nutritional quality
56,56,Flat Toothpicks,Nutri-Score not computed - Unknown nutritional quality
57,57,Whole Wheat Tortillas,Nutri-Score A - Very good nutritional quality
58,58,Medium Taqueria Style Chipotle Salsa,
59,59,Cheesy Creations Roasted Garlic Parmesan Sauce,
60,60,Ramen Noodles Soup Chicken Mushroom Flavor,
61,61,Premium Deli Oven Roasted Turkey Breast,Nutri-Score D - Poor nutritional quality
62,62,Banana & Sweet Potato Organic Teething Wafers,Nutri-Score D - Poor nutritional quality
63,63,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,Nutri-Score A - Very good nutritional quality
64,64,Organic Red Wine & Olive Oil Dressing Organic,Nutri-Score not computed - Unknown nutritional quality
65,65,European Style Spring Mix,
66,66,"Jelly, Blackberry",Nutri-Score not computed - Unknown nutritional quality
67,67,"Pancake Mix, Buttermilk",Nutri-Score not computed - Unknown nutritional quality
68,68,Vanilla with Almond Milk Iced Coffee,
69,69,Sweet Cooking Rice Seasoning,Nutri-Score not computed - Unknown nutritional quality
70,70,Ultra 7 Inch Polypropylene Traditional Plates,
